epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,969.96,0.552,0.58518,0.92795,0.76765,0.79724,0.79322,0.68382,0.55286,0.62207,0.92371,0.00029705,0.00029705,0.00029705
43,992.714,0.56453,0.59375,0.9338,0.77878,0.80361,0.79541,0.68843,0.55218,0.62617,0.92865,0.0002921,0.0002921,0.0002921
44,1015.5,0.55572,0.59332,0.9376,0.78168,0.79323,0.79474,0.68562,0.55639,0.62362,0.92383,0.00028715,0.00028715,0.00028715
45,1038.25,0.54028,0.56964,0.92508,0.76838,0.81344,0.79953,0.69178,0.5549,0.61618,0.92724,0.0002822,0.0002822,0.0002822
46,1061.06,0.54736,0.58601,0.92814,0.75505,0.81764,0.79386,0.6918,0.55493,0.60969,0.92483,0.00027725,0.00027725,0.00027725
47,1083.97,0.5575,0.57441,0.93182,0.78387,0.78232,0.79183,0.68244,0.5666,0.62933,0.93142,0.0002723,0.0002723,0.0002723
48,1106.72,0.53423,0.5709,0.9292,0.78352,0.80555,0.79306,0.68547,0.55582,0.62006,0.92916,0.00026735,0.00026735,0.00026735
49,1129.46,0.5361,0.59145,0.93113,0.81032,0.78345,0.80704,0.69912,0.54904,0.59799,0.92532,0.0002624,0.0002624,0.0002624
50,1152.25,0.53689,0.56835,0.92305,0.76161,0.80666,0.79734,0.69498,0.54643,0.60236,0.91831,0.00025745,0.00025745,0.00025745
51,1175.02,0.51449,0.53045,0.91537,0.76695,0.79897,0.79586,0.69269,0.55528,0.61887,0.92911,0.0002525,0.0002525,0.0002525
52,1197.77,0.53536,0.55325,0.92215,0.78668,0.80376,0.79857,0.6923,0.55076,0.60593,0.92513,0.00024755,0.00024755,0.00024755
53,1220.51,0.53195,0.55869,0.9227,0.80186,0.77931,0.78808,0.6875,0.54268,0.60169,0.92257,0.0002426,0.0002426,0.0002426
54,1243.39,0.54037,0.57479,0.92639,0.77947,0.79569,0.79664,0.69393,0.54388,0.59417,0.92015,0.00023765,0.00023765,0.00023765
55,1266.15,0.52661,0.54407,0.92556,0.79078,0.7946,0.79688,0.694,0.53937,0.59212,0.91855,0.0002327,0.0002327,0.0002327
56,1288.91,0.52448,0.54024,0.91924,0.7839,0.79896,0.802,0.69658,0.54722,0.60149,0.92712,0.00022775,0.00022775,0.00022775
57,1311.63,0.52122,0.54166,0.92094,0.78109,0.80502,0.7999,0.69627,0.53532,0.5878,0.91914,0.0002228,0.0002228,0.0002228
58,1334.39,0.51919,0.55015,0.92399,0.76579,0.81825,0.79605,0.69374,0.54052,0.59958,0.91575,0.00021785,0.00021785,0.00021785
59,1357.16,0.52555,0.55715,0.91852,0.77739,0.79102,0.79308,0.69241,0.54358,0.61037,0.91728,0.0002129,0.0002129,0.0002129
60,1379.97,0.51689,0.55824,0.91745,0.76538,0.81715,0.7955,0.69568,0.53919,0.59336,0.91485,0.00020795,0.00020795,0.00020795
61,1402.73,0.51959,0.51912,0.9185,0.77122,0.79994,0.81295,0.70742,0.53346,0.58596,0.91288,0.000203,0.000203,0.000203
62,1425.66,0.5225,0.57366,0.91967,0.76863,0.78658,0.80356,0.70404,0.53728,0.62012,0.92119,0.00019805,0.00019805,0.00019805
63,1448.42,0.522,0.53742,0.91844,0.78744,0.79583,0.7977,0.70409,0.52521,0.58564,0.91369,0.0001931,0.0001931,0.0001931
64,1471.2,0.50707,0.52743,0.91295,0.78278,0.80277,0.79907,0.69834,0.5403,0.58004,0.91977,0.00018815,0.00018815,0.00018815
65,1493.92,0.51697,0.53669,0.92165,0.78562,0.78873,0.78858,0.69429,0.53347,0.58406,0.91842,0.0001832,0.0001832,0.0001832
66,1516.67,0.51062,0.52897,0.90898,0.78807,0.7946,0.79805,0.70323,0.53003,0.57946,0.9206,0.00017825,0.00017825,0.00017825
67,1539.55,0.52716,0.55488,0.91899,0.76619,0.80732,0.79746,0.70093,0.53013,0.58829,0.91681,0.0001733,0.0001733,0.0001733
68,1562.29,0.51269,0.53325,0.91559,0.78598,0.78338,0.79533,0.70006,0.53237,0.60754,0.91956,0.00016835,0.00016835,0.00016835
69,1585.06,0.49877,0.51808,0.90374,0.79279,0.78727,0.80974,0.7132,0.52274,0.58501,0.91389,0.0001634,0.0001634,0.0001634
70,1607.88,0.50657,0.5164,0.91469,0.79172,0.78517,0.79499,0.70341,0.51953,0.58672,0.9139,0.00015845,0.00015845,0.00015845
71,1630.7,0.50314,0.52124,0.9089,0.78568,0.78717,0.79217,0.69615,0.51901,0.59282,0.91391,0.0001535,0.0001535,0.0001535
72,1653.57,0.50256,0.53231,0.91522,0.78234,0.80345,0.79589,0.69727,0.52443,0.57563,0.91525,0.00014855,0.00014855,0.00014855
73,1676.37,0.51189,0.51763,0.91579,0.78637,0.79818,0.79836,0.7025,0.52708,0.58172,0.91353,0.0001436,0.0001436,0.0001436
74,1699.1,0.5078,0.52748,0.91393,0.78249,0.79362,0.79831,0.70387,0.52404,0.5852,0.91805,0.00013865,0.00013865,0.00013865
75,1721.83,0.49418,0.511,0.91126,0.77976,0.80121,0.79257,0.69944,0.52145,0.57713,0.91605,0.0001337,0.0001337,0.0001337
76,1744.59,0.49454,0.51581,0.91098,0.77193,0.80234,0.79389,0.70031,0.52967,0.58874,0.91577,0.00012875,0.00012875,0.00012875
77,1767.37,0.48847,0.49573,0.90279,0.77636,0.80062,0.79436,0.70462,0.52066,0.58965,0.91143,0.0001238,0.0001238,0.0001238
78,1790.12,0.49865,0.50876,0.90898,0.77275,0.80455,0.79653,0.70493,0.52159,0.58315,0.91426,0.00011885,0.00011885,0.00011885
79,1812.87,0.49729,0.53426,0.91279,0.78184,0.7958,0.79806,0.70259,0.51426,0.5891,0.91495,0.0001139,0.0001139,0.0001139
80,1835.63,0.48284,0.49085,0.90228,0.78398,0.79995,0.79592,0.70196,0.52021,0.58519,0.92038,0.00010895,0.00010895,0.00010895
81,1858.36,0.49528,0.51076,0.90892,0.78595,0.79897,0.79655,0.70299,0.51286,0.56772,0.91085,0.000104,0.000104,0.000104
